Name,Score,Japanese name,Type,Favorites,Completed
Cowboy Bebop,8.78,カウボーイビバップ,TV,61971,718161
Cowboy Bebop: Tengoku no Tobira,8.39,カウボーイビバップ 天国の扉,Movie,1174,208333
Trigun,8.24,トライガン,TV,12944,343492
Witch Hunter Robin,7.27,Witch Hunter ROBIN (ウイッチハンターロビン),TV,587,46165
Bouken Ou Beet,6.98,冒険王ビィト,TV,18,7314
Eyeshield 21,7.95,アイシールド21,TV,2066,78349
Hachimitsu to Clover,8.06,ハチミツとクローバー,TV,4101,81145
Hungry Heart: Wild Striker,7.59,ハングリーハート Wild Striker,TV,231,13778
Initial D Fourth Stage,8.15,頭文字〈イニシャル〉D FOURTH STAGE,TV,979,90967
Monster,8.76,モンスター,TV,29436,214491
Naruto,7.91,ナルト,TV,65586,1462223
One Piece,8.52,ONE PIECE,TV,126645,33
Tennis no Ouji-sama,7.9,テニスの王子様,TV,3124,76881
Ring ni Kakero 1,6.38,リングにかけろ１,TV,16,1333
School Rumble,7.94,スクールランブル,TV,5137,157789
Sunabouzu,7.42,砂ぼうず,TV,790,53819
Texhnolyze,7.76,TEXHNOLYZE,TV,3671,47532
Trinity Blood,7.32,トリニティ・ブラッド,TV,1479,87958
Yakitate!! Japan,7.95,焼きたて!! ジャぱん,TV,887,39992
Zipang,7.51,ジパング,TV,152,6807
Neon Genesis Evangelion,8.32,新世紀エヴァンゲリオン,TV,71308,815938
Neon Genesis Evangelion: Death & Rebirth,7.45,新世紀エヴァンゲリオン劇場版 シト新生,Movie,588,146202
Neon Genesis Evangelion: The End of Evangelion,8.51,新世紀エヴァンゲリオン劇場版 THE END OF EVANGELION,Movie,17811,482918
Kenpuu Denki Berserk,8.49,剣風伝奇ベルセルク,TV,18567,276588
Koukaku Kidoutai,8.29,GHOST IN THE SHELL（攻殻機動隊）,Movie,10362,325682
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,るろうに剣心―明治剣客浪漫譚―追憶編,OVA,6111,150183
Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,るろうに剣心 -明治剣客浪漫譚-,TV,11236,216154
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,るろうに剣心 -明治剣客浪漫譚- 維新志士への鎮魂歌,Movie,107,34481
Akira,8.17,AKIRA（アキラ）,Movie,9555,434086
.hack//Sign,6.98,.hack//SIGN,TV,1359,91528
Aa! Megami-sama!,7.32,ああっ女神さまっ,OVA,267,34581
Aa! Megami-sama! (TV),7.35,ああっ女神さまっ,TV,1124,85884
Tenshi Kinryouku,6.31,天使禁猟区,OVA,215,32981
Kidou Tenshi Angelic Layer,7.26,機動天使エンジェリックレイヤー,TV,290,32978
Ai Yori Aoshi,7.14,藍より青し,TV,458,60075
Appleseed (Movie),7.1,アップルシード,Movie,173,52100
Arc the Lad,6.53,アークザラッド,TV,17,7032
Avenger,5.91,アヴェンジャー,TV,21,7906
Beck,8.31,ベック,TV,7038,133432
